path,title,order,section,description,icon
"/intro","Flexbox Introduction","1A","Flexbox","Introduction to Flexbox and CSS Grids","grip-lines"
"/flexbox-grid-system","Flexbox Grid System","1B","Flexbox",,"grip-lines"
"/flexbox-figure-figcaption","Figure Caption & Figure Caption with Flexbox","1C","Flexbox",,"grip-lines"
"/flexbox-exercises","Flexbox Exercises","1D","Flexbox",,"grip-lines"
"/header-navbar","Flexbox Header and Navbar","1E","Flexbox",,"grip-lines"
"/responsive-images","Responsive Images","1F","Flexbox",,"grip-lines"
"/flexbox-wrapup","Flexbox Wrapup","1G","Flexbox",,"grip-lines"
"/css-grid-intro","Introducing CSS Grid","2A","CSS Grid",,"th"
"/grid-mondrian-exercise","Mondrian Painting Exercise","2B","CSS Grid",,"th"
"/grid-system-css-grid","Grid System with CSS Grid","2C","CSS Grid",,"th"
"/grid-figure-figcaption","Figure Caption & Figure Caption with CSS Grid","2D","CSS Grid",,"th"
"/css-grid-exercises","CSS Grid Exercises","2E","CSS Grid",,"th"
"/magazine-layouts","Magazine Layouts","2F","CSS Grid",,"th"
"/card-layouts","Card Layouts","2G","CSS Grid",,"th"
"/final-project","Final Project","2H","CSS Grid",,"th"
